client_id,month,equity_pct,bonds_pct,crypto_pct,volatility,return,risk_level
C0001,2024-01,58.52,29.96,11.52,11.39,0.0651,Medium
C0001,2024-02,31.74,55.0,13.26,11.41,0.0538,Medium
C0001,2024-03,51.24,46.49,2.27,14.73,0.0376,Medium
C0001,2024-04,35.46,60.16,4.38,8.74,0.0672,Medium
C0001,2024-05,45.74,46.64,7.62,8.62,0.0358,Medium
C0001,2024-06,38.77,54.47,6.76,10.1,0.067,Medium
C0001,2024-07,53.55,41.85,4.6,10.63,0.0449,Medium
C0001,2024-08,48.22,47.56,4.22,6.59,0.0614,Medium
C0001,2024-09,58.47,26.98,14.55,13.28,0.0528,Medium
C0001,2024-10,50.53,41.75,7.72,7.1,0.0583,Medium
C0001,2024-11,44.85,52.7,2.45,14.18,0.0904,Medium
C0001,2024-12,39.35,51.89,8.76,10.92,0.0202,Medium
C0002,2024-01,34.24,61.88,3.88,7.64,0.0568,Low
C0002,2024-02,33.05,66.51,0.44,3.18,0.0555,Low
C0002,2024-03,11.13,87.24,1.63,4.33,0.0476,Low
C0002,2024-04,18.92,79.68,1.4,5.26,0.0326,Low
C0002,2024-05,13.52,82.47,4.01,2.45,0.0459,Low
C0002,2024-06,28.22,67.92,3.86,2.44,0.0552,Low
C0002,2024-07,18.96,80.46,0.58,7.18,0.0077,Low
C0002,2024-08,11.59,86.86,1.55,3.95,0.0507,Low
C0002,2024-09,28.24,68.57,3.19,7.32,0.0252,Low
C0002,2024-10,27.84,68.36,3.8,5.37,0.0473,Low
C0002,2024-11,29.27,68.26,2.47,5.14,0.0415,Low
C0002,2024-12,12.69,87.15,0.16,5.82,0.0355,Low
C0003,2024-01,45.26,40.94,13.8,8.24,0.1057,Medium
C0003,2024-02,36.86,60.14,3.0,8.61,0.0386,Medium
C0003,2024-03,34.83,51.08,14.09,13.27,0.1008,Medium
C0003,2024-04,54.11,41.46,4.43,14.03,0.0762,Medium
C0003,2024-05,46.18,41.32,12.5,14.06,0.0385,Medium
C0003,2024-06,36.84,55.61,7.55,13.36,0.0443,Medium
C0003,2024-07,55.82,42.09,2.09,10.6,0.0154,Medium
C0003,2024-08,33.59,60.02,6.39,14.49,0.0362,Medium
C0003,2024-09,39.7,51.56,8.74,12.33,0.0699,Medium
C0003,2024-10,58.88,35.85,5.27,10.48,0.0634,Medium
C0003,2024-11,39.03,55.27,5.7,6.33,0.0575,Medium
C0003,2024-12,31.55,62.83,5.62,14.17,0.1572,Medium
C0004,2024-01,13.62,83.93,2.45,7.91,0.058,Low
C0004,2024-02,29.04,69.77,1.19,6.37,0.024,Low
C0004,2024-03,19.2,77.64,3.16,5.8,0.0281,Low
C0004,2024-04,30.89,67.51,1.6,3.12,0.0481,Low
C0004,2024-05,11.02,86.03,2.95,6.07,0.0392,Low
C0004,2024-06,15.66,81.11,3.23,3.05,0.0384,Low
C0004,2024-07,27.28,70.79,1.93,7.62,0.0371,Low
C0004,2024-08,12.84,82.54,4.62,7.26,0.0227,Low
C0004,2024-09,16.45,80.25,3.3,6.9,0.0704,Low
C0004,2024-10,16.04,83.49,0.47,7.38,0.0948,Low
C0004,2024-11,32.51,64.32,3.17,4.03,0.0658,Low
C0004,2024-12,32.42,63.14,4.44,6.68,0.0342,Low
C0005,2024-01,32.53,63.37,4.1,14.09,0.0636,Medium
C0005,2024-02,30.15,65.76,4.09,10.94,0.0265,Medium
C0005,2024-03,50.75,38.77,10.48,8.02,0.0445,Medium
C0005,2024-04,39.77,48.53,11.7,11.85,0.0919,Medium
C0005,2024-05,55.48,33.97,10.55,11.11,0.0622,Medium
C0005,2024-06,37.96,56.87,5.17,14.76,0.0218,Medium
C0005,2024-07,41.79,44.61,13.6,11.68,0.0677,Medium
C0005,2024-08,47.31,44.29,8.4,7.76,0.0976,Medium
C0005,2024-09,51.67,42.68,5.65,6.22,0.0426,Medium
C0005,2024-10,58.21,27.39,14.4,14.23,0.097,Medium
C0005,2024-11,41.11,56.69,2.2,14.35,0.0736,Medium
C0005,2024-12,58.91,28.0,13.09,8.65,0.0733,Medium
C0006,2024-01,55.53,38.35,6.12,7.53,0.0812,Medium
C0006,2024-02,50.88,39.71,9.41,6.87,0.0686,Medium
C0006,2024-03,48.45,36.68,14.87,7.26,0.0951,Medium
C0006,2024-04,52.22,36.72,11.06,12.32,0.0713,Medium
C0006,2024-05,40.78,53.4,5.82,13.28,0.0695,Medium
C0006,2024-06,57.39,33.96,8.65,10.51,0.0772,Medium
C0006,2024-07,53.95,35.6,10.45,12.32,0.0781,Medium
C0006,2024-08,40.14,52.98,6.88,6.85,0.0619,Medium
C0006,2024-09,47.35,50.18,2.47,10.19,0.002,Medium
C0006,2024-10,47.72,49.88,2.4,6.34,0.0635,Medium
C0006,2024-11,54.68,38.64,6.68,7.14,0.0988,Medium
C0006,2024-12,36.47,53.43,10.1,6.77,0.063,Medium
C0007,2024-01,23.29,74.01,2.7,5.82,0.0095,Low
C0007,2024-02,29.88,68.77,1.35,4.63,0.0491,Low
C0007,2024-03,11.96,87.91,0.13,7.78,0.0479,Low
C0007,2024-04,20.22,78.91,0.87,2.94,0.0488,Low
C0007,2024-05,16.25,81.0,2.75,6.29,0.0176,Low
C0007,2024-06,33.87,62.44,3.69,5.33,0.066,Low
C0007,2024-07,25.29,72.61,2.1,3.49,0.0584,Low
C0007,2024-08,10.36,89.06,0.58,2.28,0.031,Low
C0007,2024-09,11.02,84.7,4.28,6.22,0.0233,Low
C0007,2024-10,22.29,75.34,2.37,3.04,0.0434,Low
C0007,2024-11,20.85,77.16,1.99,5.7,0.0353,Low
C0007,2024-12,19.36,77.51,3.13,5.02,0.0454,Low
C0008,2024-01,63.05,23.69,13.26,13.27,0.0694,High
C0008,2024-02,60.51,10.69,28.8,22.36,0.0989,High
C0008,2024-03,53.58,23.55,22.87,20.25,0.126,High
C0008,2024-04,53.52,17.26,29.22,28.3,0.0978,High
C0008,2024-05,46.85,41.76,11.39,13.81,0.0469,High
C0008,2024-06,51.16,21.94,26.9,12.42,0.0956,High
C0008,2024-07,68.5,15.86,15.64,14.13,0.1234,High
C0008,2024-08,70.71,4.59,24.7,26.46,0.2103,High
C0008,2024-09,49.87,36.58,13.55,25.51,-0.0656,High
C0008,2024-10,67.17,16.01,16.82,28.75,-0.0215,High
C0008,2024-11,70.04,11.38,18.58,25.52,0.0561,High
C0008,2024-12,71.58,8.31,20.11,26.88,0.111,High
C0009,2024-01,56.87,36.07,7.06,6.1,0.0728,Medium
C0009,2024-02,58.52,32.03,9.45,11.69,0.066,Medium
C0009,2024-03,43.46,50.73,5.81,8.96,0.0898,Medium
C0009,2024-04,53.74,33.99,12.27,6.82,0.0878,Medium
C0009,2024-05,44.83,52.42,2.75,10.95,0.0877,Medium
C0009,2024-06,40.53,55.95,3.52,7.29,0.0513,Medium
C0009,2024-07,52.84,37.12,10.04,6.91,0.0735,Medium
C0009,2024-08,32.19,55.13,12.68,12.36,0.0425,Medium
C0009,2024-09,32.44,64.46,3.1,14.88,-0.0147,Medium
C0009,2024-10,54.39,31.3,14.31,14.87,0.0116,Medium
C0009,2024-11,52.6,40.51,6.89,6.75,0.0709,Medium
C0009,2024-12,42.73,43.49,13.78,7.0,0.0989,Medium
C0010,2024-01,30.34,61.57,8.09,6.51,0.0797,Medium
C0010,2024-02,47.5,37.99,14.51,9.37,0.0928,Medium
C0010,2024-03,38.57,48.14,13.29,8.01,0.0669,Medium
C0010,2024-04,59.79,37.25,2.96,10.98,0.0958,Medium
C0010,2024-05,59.08,32.12,8.8,11.66,0.055,Medium
C0010,2024-06,48.82,41.58,9.6,14.11,0.1447,Medium
C0010,2024-07,31.37,62.98,5.65,14.55,0.0476,Medium
C0010,2024-08,48.6,45.79,5.61,7.69,0.0836,Medium
C0010,2024-09,43.91,49.5,6.59,11.25,-0.0047,Medium
C0010,2024-10,54.42,34.68,10.9,7.46,0.0784,Medium
C0010,2024-11,57.33,29.98,12.69,14.55,0.1063,Medium
C0010,2024-12,42.54,43.33,14.13,13.79,0.1293,Medium
C0011,2024-01,10.66,87.46,1.88,6.86,0.0023,Low
C0011,2024-02,34.25,61.54,4.21,7.03,0.0807,Low
C0011,2024-03,21.72,76.21,2.07,3.64,0.0434,Low
C0011,2024-04,29.23,66.05,4.72,7.1,0.0513,Low
C0011,2024-05,16.19,81.56,2.25,2.77,0.0418,Low
C0011,2024-06,15.71,80.93,3.36,5.71,0.0507,Low
C0011,2024-07,18.95,80.48,0.57,6.03,0.0682,Low
C0011,2024-08,23.0,72.74,4.26,5.31,0.0485,Low
C0011,2024-09,24.03,71.59,4.38,4.42,0.0558,Low
C0011,2024-10,27.61,71.33,1.06,2.82,0.0567,Low
C0011,2024-11,10.37,87.88,1.75,5.54,0.0176,Low
C0011,2024-12,32.61,65.65,1.74,5.08,0.0173,Low
C0012,2024-01,53.88,23.68,22.44,27.52,0.0827,High
C0012,2024-02,49.04,31.78,19.18,29.64,0.1484,High
C0012,2024-03,57.24,26.18,16.58,23.4,0.0699,High
C0012,2024-04,44.51,42.93,12.56,14.73,0.064,High
C0012,2024-05,44.86,32.32,22.82,15.27,0.1141,High
C0012,2024-06,56.59,20.06,23.35,15.1,0.0731,High
C0012,2024-07,46.73,42.45,10.82,15.04,0.0296,High
C0012,2024-08,43.11,44.48,12.41,20.29,0.0324,High
C0012,2024-09,47.22,35.49,17.29,21.06,0.0679,High
C0012,2024-10,67.98,9.46,22.56,13.47,0.0928,High
C0012,2024-11,70.57,1.01,28.42,13.1,0.1328,High
C0012,2024-12,66.19,20.12,13.69,15.77,0.0502,High
C0013,2024-01,44.53,45.43,10.04,9.32,0.1103,Medium
C0013,2024-02,31.1,63.62,5.28,12.42,0.0426,Medium
C0013,2024-03,56.86,34.49,8.65,10.79,0.0647,Medium
C0013,2024-04,45.98,48.87,5.15,8.42,0.035,Medium
C0013,2024-05,41.32,56.42,2.26,8.9,0.0361,Medium
C0013,2024-06,33.59,52.83,13.58,11.34,0.0263,Medium
C0013,2024-07,50.37,37.37,12.26,10.49,0.0723,Medium
C0013,2024-08,47.61,40.7,11.69,9.88,0.0423,Medium
C0013,2024-09,33.83,60.48,5.69,9.27,0.0795,Medium
C0013,2024-10,40.69,44.49,14.82,11.45,0.1337,Medium
C0013,2024-11,37.12,59.56,3.32,7.38,0.0381,Medium
C0013,2024-12,35.59,58.7,5.71,7.56,0.0436,Medium
C0014,2024-01,42.81,36.7,20.49,19.39,0.0987,High
C0014,2024-02,70.29,3.37,26.34,16.64,0.0925,High
C0014,2024-03,45.98,30.65,23.37,28.73,0.2571,High
C0014,2024-04,49.8,24.81,25.39,15.37,0.16,High
C0014,2024-05,51.33,30.16,18.51,21.14,0.0488,High
C0014,2024-06,61.37,22.86,15.77,22.46,0.0589,High
C0014,2024-07,45.41,34.97,19.62,21.59,0.0666,High
C0014,2024-08,44.7,44.03,11.27,29.82,0.0294,High
C0014,2024-09,51.28,22.52,26.2,16.58,0.1421,High
C0014,2024-10,60.85,19.72,19.43,19.41,0.1287,High
C0014,2024-11,52.21,19.2,28.59,26.95,0.1041,High
C0014,2024-12,46.34,42.33,11.33,25.34,0.0736,High
C0015,2024-01,55.25,40.93,3.82,13.16,0.043,Medium
C0015,2024-02,34.93,52.48,12.59,11.99,0.047,Medium
C0015,2024-03,45.7,47.64,6.66,13.89,0.1109,Medium
C0015,2024-04,43.17,49.93,6.9,10.16,0.0474,Medium
C0015,2024-05,39.04,49.24,11.72,10.52,0.0739,Medium
C0015,2024-06,41.51,49.42,9.07,14.16,0.0523,Medium
C0015,2024-07,48.73,47.75,3.52,14.46,-0.0056,Medium
C0015,2024-08,34.18,53.5,12.32,11.58,0.1016,Medium
C0015,2024-09,46.0,40.38,13.62,13.1,0.0513,Medium
C0015,2024-10,37.46,50.87,11.67,6.3,0.0467,Medium
C0015,2024-11,47.1,40.99,11.91,13.89,0.1111,Medium
C0015,2024-12,33.32,53.68,13.0,7.15,0.0513,Medium
